Company,taiwan,china,semiconductor,supply chain,risk,threat,growth,chip,factory,production,shortage,investment,manufacturing,innovation,disruption,global,market,demand,silicon,foundry
Samsung,,,,,,,,,,,,,,,,,,,,
Samsung,,,,,,,,,,,,,,,,,,,,
Samsung,,,,,,,,,,,,,,,,,,,,
Samsung,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Samsung,0,0,2,0,0,0,9,1,0,1,0,0,0,0,0,1,11,14,0,2
Samsung,1,0,3,0,0,0,0,6,1,6,2,1,1,0,1,0,0,0,0,1
Samsung,0,0,1,0,0,0,0,5,0,1,0,3,0,0,0,0,1,0,0,7
Samsung,,,,,,,,,,,,,,,,,,,,
Samsung,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samsung,0,2,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Samsung,0,0,2,2,0,0,1,2,0,1,0,7,3,0,1,0,0,0,0,0
Samsung,0,1,5,1,0,0,3,8,0,0,0,1,2,1,0,1,6,1,0,0
Samsung,0,3,4,0,0,1,2,5,0,1,0,0,0,0,0,1,0,1,0,0
Foxconn,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,1
Foxconn,1,0,7,1,0,0,2,5,0,2,0,2,2,0,0,2,1,2,0,0
Foxconn,,,,,,,,,,,,,,,,,,,,
Foxconn,4,18,0,1,0,0,0,0,2,9,0,0,8,0,1,2,1,0,0,0
Foxconn,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foxconn,3,9,0,2,0,0,1,4,3,4,0,7,9,0,0,3,10,3,0,0
Foxconn,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Foxconn,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Foxconn,0,1,0,1,0,2,3,0,0,1,0,1,0,0,0,4,0,2,0,0
Foxconn,1,0,0,0,1,0,6,0,1,2,0,0,3,0,0,4,4,6,0,0
ASML,,,,,,,,,,,,,,,,,,,,
ASML,,,,,,,,,,,,,,,,,,,,
ASML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASML,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
ASML,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ASML,,,,,,,,,,,,,,,,,,,,
ASML,,,,,,,,,,,,,,,,,,,,
ASML,,,,,,,,,,,,,,,,,,,,
ASML,,,,,,,,,,,,,,,,,,,,
ASML,,,,,,,,,,,,,,,,,,,,
ASML,,,,,,,,,,,,,,,,,,,,
NVIDIA,,,,,,,,,,,,,,,,,,,,
NVIDIA,5,1,6,2,1,0,1,1,0,5,0,1,7,1,0,3,1,0,0,0
NVIDIA,1,17,0,1,5,1,1,11,0,0,1,2,1,1,1,2,6,0,0,0
NVIDIA,3,4,4,5,0,0,0,5,0,1,0,0,3,0,0,2,0,0,1,0
NVIDIA,0,0,0,3,0,0,0,6,0,2,0,0,8,0,0,1,0,2,0,0
NVIDIA,1,1,3,1,0,0,0,5,0,0,0,0,2,0,0,0,2,0,0,0
NVIDIA,0,0,4,6,0,0,0,9,0,0,1,0,3,2,0,0,0,4,0,1
NVIDIA,3,2,0,1,3,0,2,4,0,0,0,0,0,0,0,0,6,2,2,0
NVIDIA,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,10,0,0,0
NVIDIA,0,10,3,3,4,1,5,1,0,1,1,0,0,1,0,4,5,2,0,0
NVIDIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embraer,0,0,0,1,0,0,8,0,0,1,0,0,0,0,0,2,6,3,0,0
Embraer,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,9,0,0,0
Embraer,,,,,,,,,,,,,,,,,,,,
Embraer,,,,,,,,,,,,,,,,,,,,
Embraer,,,,,,,,,,,,,,,,,,,,
Embraer,,,,,,,,,,,,,,,,,,,,
Embraer,,,,,,,,,,,,,,,,,,,,
Embraer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
