Company,URL,Sentiment,Polarity Score,taiwan,china,semiconductor,supply chain,risk,threat,growth,chip,factory,production,shortage,investment,manufacturing,innovation,disruption,global,market,demand,silicon,foundry
Samsung,https://semiconductor.samsung.com/foundry/manufacturing/,Extraction Failed,,,,,,,,,,,,,,,,,,,,,
Samsung,https://semiconsam.substack.com/p/samsung-securities-2025-semiconductor,Neutral,0.0267882854,,,,,,,,,,,,,,,,,,,,
Samsung,https://koreajoongangdaily.joins.com/2021/12/29/business/tech/Samsung-Electronics-Xian/20211229181523222.html,Extraction Failed,,,,,,,,,,,,,,,,,,,,,
Samsung,https://news.samsung.com/global/update-on-the-situation-in-xian-china,Positive,0.495,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Samsung,https://news.samsung.com/global/samsung-electronics-announces-fourth-quarter-and-fy-2024-results,Neutral,0.04095296247,0,0,2,0,0,0,9,1,0,1,0,0,0,0,0,1,11,14,0,2
Samsung,https://www.supplychainbrain.com/articles/38732-samsung-delays-production-at-new-us-factory-to-2025-daily-says,Positive,0.1203588822,1,0,3,0,0,0,0,6,1,6,2,1,1,0,1,0,0,0,0,1
Samsung,https://semiwiki.com/forum/threads/news-samsung-reportedly-reviews-chip-business-considers-halting-pyeongtaek-and-u-s-taylor-investments.22248/,Positive,0.1472222222,0,0,1,0,0,0,0,5,0,1,0,3,0,0,0,0,1,0,0,7
Samsung,https://www.reportlinker.com/article/9746,Extraction Failed,,,,,,,,,,,,,,,,,,,,,
Samsung,https://semiconductor.samsung.com/sustainability/sustainable-supply-chain/,Neutral,0.007572429534,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samsung,https://www.digitimes.com/news/a20230823PD200/samsung-supplier-south-korea-ict-manufacturing.html,Negative,-0.1347274433,0,2,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Samsung,https://opportunityaustin.com/samsung-pouring-45b-into-austin-area-one-of-largest-deals-in-us-history/,Positive,0.2295017483,0,0,2,2,0,0,1,2,0,1,0,7,3,0,1,0,0,0,0,0
Samsung,https://www.reuters.com/technology/samsung-electronics-ceo-says-it-will-pursue-meaningful-ma-this-year-2025-03-19/,Neutral,-0.03273141572,0,1,5,1,0,0,3,8,0,0,0,1,2,1,0,1,6,1,0,0
Samsung,https://www.taipeitimes.com/News/biz/archives/2025/03/18/2003833594,Neutral,0.01311145596,0,3,4,0,0,1,2,5,0,1,0,0,0,0,0,1,0,1,0,0
Foxconn,https://www.foxconn.com/en-us/press-center/press-releases/latest-news/1562,Positive,0.1404164382,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,1
Foxconn,https://mexicobusiness.news/automotive/news/foxconn-drives-growth-semiconductors-ai-4q24,Positive,0.1904978355,1,0,7,1,0,0,2,5,0,2,0,2,2,0,0,2,1,2,0,0
Foxconn,https://spectrumlocalnews.com/us/national/technology/2025/04/14/nvidia-ai-chips-u-s--manufacturing-semiconductor-tariffs,Extraction Failed,,,,,,,,,,,,,,,,,,,,,
Foxconn,https://restofworld.org/2025/china-foxconn-factoriesfoxconn-stops-sending-chinese-workers-to-india-iphone-factories/,Positive,0.1620011806,4,18,0,1,0,0,0,0,2,9,0,0,8,0,1,2,1,0,0,0
